City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
1,Mataura,NZ,66.74,few clouds,-46.1927,168.8643,Ellie's Villa
2,Luderitz,,64.87,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
3,Penzance,GB,52.48,light rain,50.1186,-5.5371,Artist Residence Penzance
4,Daitari,IN,59.9,few clouds,21.1,85.75,
5,Airai,TL,62.51,overcast clouds,-8.9266,125.4092,
9,Comodoro Rivadavia,AR,64.26,clear sky,-45.8667,-67.5,Austral Hotel
10,Ponta Do Sol,PT,67.01,clear sky,32.6667,-17.1,Hotel do Campo
11,Lompoc,US,56.79,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
12,Bluff,NZ,56.53,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
18,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
19,Ribeira Grande,PT,63.77,light rain,38.5167,-28.7,Quinta da Meia Eira
20,Mufulira,ZM,62.17,moderate rain,-12.5498,28.2407,Kamiria lodge
21,Ushibuka,JP,49.15,few clouds,32.1906,130.0228,Hotei
22,Hermanus,ZA,54.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
23,Darab,IR,44.96,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
24,Port Alfred,ZA,57.18,scattered clouds,-33.5906,26.891,The Halyards Hotel & Spa
25,Bredasdorp,ZA,58.89,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
28,Byron Bay,AU,72.72,light rain,-28.65,153.6167,Backpackers Inn
31,Cape Town,ZA,62.1,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
34,Ushuaia,AR,42.46,light rain,-54.8,-68.3,Albatross Hotel
35,Indian Head,US,47.44,clear sky,38.6001,-77.1622,"Red Carpet Inn Indian Head, MD"
36,Bethel,US,42.94,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
37,Velikovechnoye,RU,35.15,overcast clouds,44.934,39.755,Guest House
39,Marsh Harbour,BS,73.98,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
41,Port Elizabeth,ZA,59.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
43,Jasper,US,60.24,overcast clouds,37.2001,-94.3502,Guest House Motel
46,Kruisfontein,ZA,56.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
47,Victoria,HK,60.24,clear sky,22.2855,114.1577,Mini Central
49,Richards Bay,ZA,67.89,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
51,New Norfolk,AU,71.71,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
52,Goderich,CA,50.32,overcast clouds,43.7501,-81.7165,Harmony Inn
54,Aksaray,TR,35.38,clear sky,38.3726,34.0254,Kuzucular Park Hotel
