City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Rikitea,PF,-23.1203,-134.9692,78.39,68,100,5.39,overcast clouds
1,Mataura,NZ,-46.1927,168.8643,66.74,32,12,5.55,few clouds
2,Luderitz,NA,-26.6481,15.1594,64.87,62,0,19.53,clear sky
3,Penzance,GB,50.1186,-5.5371,52.48,84,100,34.18,light rain
4,Daitari,IN,21.1,85.75,59.9,49,22,2.19,few clouds
5,Airai,TL,-8.9266,125.4092,62.51,95,100,3.78,overcast clouds
6,Padang,ID,-0.9492,100.3543,78.85,67,73,3.65,broken clouds
7,Natal,BR,-5.795,-35.2094,79.45,78,20,11.5,few clouds
8,Hithadhoo,MV,-0.6,73.0833,79.57,75,42,4.81,scattered clouds
9,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,42,0,2.3,clear sky
10,Ponta Do Sol,PT,32.6667,-17.1,67.01,27,1,4.9,clear sky
11,Lompoc,US,34.6391,-120.4579,56.79,81,100,5.59,overcast clouds
12,Bluff,NZ,-46.6,168.3333,56.53,55,15,6.73,few clouds
13,Kedrovyy,RU,56.1667,91.8167,-6.14,100,99,2.37,overcast clouds
14,Mehamn,NO,71.0357,27.8492,24.75,68,20,35.68,few clouds
15,Baturyn,UA,51.3457,32.8779,32.5,83,100,10.07,overcast clouds
16,Atuona,PF,-9.8,-139.0333,78.6,71,9,13.91,clear sky
17,Teya,RU,60.3778,92.6267,-20.18,100,97,1.81,overcast clouds
18,Bambous Virieux,MU,-20.3428,57.7575,73.65,88,40,2.3,scattered clouds
19,Ribeira Grande,PT,38.5167,-28.7,63.77,90,100,32.99,light rain
20,Mufulira,ZM,-12.5498,28.2407,62.17,99,100,4.27,moderate rain
21,Ushibuka,JP,32.1906,130.0228,49.15,56,24,10.8,few clouds
22,Hermanus,ZA,-34.4187,19.2345,54.81,61,85,15.9,overcast clouds
23,Darab,IR,28.7519,54.5444,44.96,40,0,1.77,clear sky
24,Port Alfred,ZA,-33.5906,26.891,57.18,94,42,1.01,scattered clouds
25,Bredasdorp,ZA,-34.5322,20.0403,58.89,57,100,9.6,overcast clouds
26,Ust-Nera,RU,64.5667,143.2,-10.75,98,100,1.61,overcast clouds
27,Corowa,AU,-36.0333,146.3833,85.57,64,64,9.84,broken clouds
28,Byron Bay,AU,-28.65,153.6167,72.72,86,66,12.53,light rain
29,Chokurdakh,RU,70.6333,147.9167,-41.24,100,89,6.51,overcast clouds
30,Ust-Koksa,RU,50.2696,85.6108,18.64,96,100,1.79,light snow
31,Cape Town,ZA,-33.9258,18.4232,62.1,58,0,14.0,clear sky
32,Qaanaaq,GL,77.484,-69.3632,-24.79,71,21,5.91,few clouds
33,Barrow,US,71.2906,-156.7887,-5.76,95,100,14.2,overcast clouds
34,Ushuaia,AR,-54.8,-68.3,42.46,87,75,23.02,light rain
35,Indian Head,US,38.6001,-77.1622,47.44,68,0,4.61,clear sky
36,Bethel,US,41.3712,-73.414,42.94,69,2,3.0,clear sky
37,Velikovechnoye,RU,44.934,39.755,35.15,69,100,5.7,overcast clouds
38,Yellowknife,CA,62.456,-114.3525,5.52,85,100,8.05,light snow
39,Marsh Harbour,BS,26.5412,-77.0636,73.98,84,98,17.56,overcast clouds
40,Upernavik,GL,72.7868,-56.1549,-8.34,89,100,5.68,overcast clouds
41,Port Elizabeth,ZA,-33.918,25.5701,59.09,59,84,3.71,broken clouds
42,Maragogi,BR,-9.0122,-35.2225,76.86,87,98,8.7,overcast clouds
43,Jasper,US,37.2001,-94.3502,60.24,45,100,9.19,overcast clouds
44,Turinsk,RU,58.0458,63.696,-14.42,100,100,2.42,overcast clouds
45,Severo-Yeniseyskiy,RU,60.3725,93.0408,-22.59,100,98,3.13,overcast clouds
46,Kruisfontein,ZA,-34.0033,24.7314,56.88,56,100,2.95,overcast clouds
47,Victoria,HK,22.2855,114.1577,60.24,68,5,11.99,clear sky
48,Guozhen,CN,34.3659,107.359,33.73,42,0,1.86,clear sky
49,Richards Bay,ZA,-28.783,32.0377,67.89,87,100,18.05,light rain
50,Bubaque,GW,11.2833,-15.8333,78.21,68,100,20.27,overcast clouds
51,New Norfolk,AU,-42.7826,147.0587,71.71,40,0,3.0,clear sky
52,Goderich,CA,43.7501,-81.7165,50.32,76,100,19.57,overcast clouds
53,Sumenep,ID,-7.0167,113.8667,77.07,92,100,16.62,moderate rain
54,Aksaray,TR,38.3726,34.0254,35.38,71,0,2.44,clear sky
55,Kargil,IN,34.5667,76.1,15.19,92,100,4.27,light snow
56,Sinnamary,GF,5.3833,-52.95,76.59,88,94,6.73,overcast clouds
57,Nikolskoye,RU,59.7035,30.7861,26.8,95,100,10.11,light snow
58,Beloha,MG,-25.1667,45.05,74.17,78,0,2.21,clear sky
59,Punta Arenas,CL,-53.15,-70.9167,48.31,61,40,24.16,scattered clouds
60,Rocha,UY,-34.4833,-54.3333,54.28,74,1,3.74,clear sky
61,Nouadhibou,MR,20.931,-17.0347,66.18,94,40,8.05,scattered clouds
62,Esperance,AU,-33.8667,121.9,77.68,45,0,7.7,clear sky
63,Norman Wells,CA,65.282,-126.8329,-18.36,69,20,2.3,few clouds
64,Rincon,US,32.296,-81.2354,57.9,77,86,4.54,overcast clouds
65,Cherskiy,RU,68.75,161.3,-44.95,100,86,3.71,overcast clouds
66,Puerto Ayora,EC,-0.7393,-90.3518,72.55,96,53,6.89,broken clouds
67,East London,ZA,-33.0153,27.9116,60.39,77,25,7.74,scattered clouds
68,Leningradskiy,RU,69.3833,178.4167,-17.63,92,100,11.72,overcast clouds
69,Castro,BR,-24.7911,-50.0119,60.15,92,0,5.3,clear sky
70,Mar Del Plata,AR,-38.0023,-57.5575,75.22,38,0,10.36,clear sky
71,Provideniya,RU,64.3833,-173.3,3.31,72,75,8.95,broken clouds
72,Dikson,RU,73.5069,80.5464,-16.74,99,100,18.92,overcast clouds
73,Benguela,AO,-12.5763,13.4055,75.13,84,87,2.73,overcast clouds
74,Tazovskiy,RU,67.4667,78.7,-29.15,100,7,3.29,clear sky
75,Jalu,LY,29.0331,21.5482,54.77,81,2,5.55,clear sky
76,Butaritari,KI,3.0707,172.7902,81.55,73,53,13.22,broken clouds
77,Sobolevo,RU,54.4299,31.8996,33.06,100,100,10.56,light snow
78,Rock Sound,BS,24.9,-76.2,76.98,82,30,15.26,scattered clouds
79,Albany,US,42.6001,-73.9662,41.45,70,100,2.55,overcast clouds
80,Acapulco,MX,16.8634,-99.8901,78.55,64,100,5.91,overcast clouds
81,Port Macquarie,AU,-31.4333,152.9167,76.89,74,61,9.84,broken clouds
82,Margate,GB,51.3813,1.3862,47.3,88,20,5.01,light rain
83,Busselton,AU,-33.65,115.3333,79.77,40,0,3.98,clear sky
84,Hambantota,LK,6.1241,81.1185,71.94,100,20,4.61,few clouds
85,Eureka,US,40.8021,-124.1637,52.57,92,100,11.01,moderate rain
86,Balykshi,KZ,47.0667,51.8667,28.4,86,40,8.95,mist
87,Cidreira,BR,-30.1811,-50.2056,67.12,63,0,6.22,clear sky
88,Sorland,NO,67.667,12.6934,40.86,67,100,24.65,overcast clouds
89,Avarua,CK,-21.2078,-159.775,82.45,83,75,8.05,broken clouds
90,Sola,VU,-13.8833,167.55,83.16,74,89,17.45,overcast clouds
91,Hasaki,JP,35.7333,140.8333,47.21,42,100,4.52,overcast clouds
92,Bom Jardim,BR,-7.7958,-35.5872,71.91,90,5,3.87,clear sky
93,Salalah,OM,17.0151,54.0924,68.67,42,52,13.62,broken clouds
94,Chaozhou,CN,23.6651,116.6379,55.26,60,2,6.98,clear sky
95,Thompson,CA,55.7435,-97.8558,5.16,85,100,5.75,light snow
96,Adrar,MR,20.5022,-10.0711,70.11,23,100,18.52,overcast clouds
97,Vaini,TO,-21.2,-175.2,77.16,83,75,8.05,light intensity drizzle
98,Hatillo,PR,18.4863,-66.8254,77.49,92,24,3.0,few clouds
99,Cap Malheureux,MU,-19.9842,57.6142,73.47,76,3,6.49,clear sky
100,Monte Patria,CL,-30.6919,-70.9467,71.65,56,0,3.42,clear sky
101,Kapaa,US,22.0752,-159.319,76.19,78,75,2.39,broken clouds
102,Quatre Cocos,MU,-20.2078,57.7625,73.51,77,23,4.65,light rain
103,Izumo,JP,35.3667,132.7667,42.75,65,75,10.36,broken clouds
104,Marang,MY,5.2056,103.2059,81.97,76,100,9.6,overcast clouds
105,Hobart,AU,-42.8794,147.3294,72.05,52,75,10.36,broken clouds
106,Kearney,US,40.6995,-99.0815,34.36,93,100,5.01,overcast clouds
107,Severo-Kurilsk,RU,50.6789,156.125,26.13,73,100,20.45,overcast clouds
108,Mogadishu,SO,2.0371,45.3438,75.45,78,8,17.05,clear sky
109,Touros,BR,-5.1989,-35.4608,79.11,78,38,13.11,scattered clouds
110,Carnarvon,AU,-24.8667,113.6333,87.19,37,0,17.05,clear sky
111,Varangaon,IN,21.0167,75.9,65.95,44,0,2.51,clear sky
112,Faanui,PF,-16.4833,-151.75,81.52,72,27,13.42,scattered clouds
113,Geraldton,AU,-28.7667,114.6,77.41,69,0,14.97,clear sky
114,Kodiak,US,57.79,-152.4072,38.71,100,100,11.5,light rain
115,Eidsvag,NO,62.7767,8.0668,39.85,91,100,7.56,overcast clouds
116,Coquimbo,CL,-29.9533,-71.3436,62.33,82,100,6.91,overcast clouds
117,Hami,CN,42.8,93.45,16.3,52,70,0.2,broken clouds
118,Khatanga,RU,71.9667,102.5,-14.44,96,100,13.47,overcast clouds
119,Avera,US,33.194,-82.5271,54.91,88,0,5.59,clear sky
120,Fonte Boa,BR,-2.4959,-66.2662,73.17,97,100,2.39,overcast clouds
121,Longyearbyen,SJ,78.2186,15.6401,21.04,73,40,18.41,light snow
122,Newport,GB,51.5877,-2.9984,49.44,92,100,24.49,overcast clouds
123,Alihe,CN,50.5667,123.7167,3.06,81,100,2.35,overcast clouds
124,Mungwi,ZM,-10.1732,31.3694,60.58,98,100,2.98,overcast clouds
125,Sechura,PE,-5.5569,-80.8222,70.93,77,34,11.95,scattered clouds
126,Ilulissat,GL,69.2167,-51.1,7.29,95,100,8.08,light snow
127,Bojnurd,IR,37.4747,57.329,28.35,86,40,0.0,scattered clouds
128,Abu Samrah,SY,35.3029,37.1841,47.05,84,6,6.24,clear sky
129,Nuuk,GL,64.1835,-51.7216,9.77,88,61,6.31,broken clouds
130,Yulara,AU,-25.2406,130.9889,89.37,35,97,16.46,overcast clouds
131,Zamora,EC,-4.0692,-78.9567,67.21,98,60,1.34,broken clouds
132,Fortuna,US,40.5982,-124.1573,51.93,92,100,24.16,light rain
133,Saint-Philippe,RE,-21.3585,55.7679,72.99,80,28,5.12,scattered clouds
134,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,100,5.75,light snow
135,Huron,US,41.1501,-82.5499,56.64,88,100,17.74,overcast clouds
136,Tirumullaivasal,IN,11.2333,79.8333,75.52,83,41,3.49,scattered clouds
137,Torbay,CA,47.6666,-52.7314,22.57,80,75,14.97,broken clouds
138,Bay Roberts,CA,47.5999,-53.2648,22.51,78,29,7.0,scattered clouds
139,Yoichi,JP,43.2039,140.7703,29.7,76,100,17.07,light snow
140,Cleburne,US,32.3476,-97.3867,60.67,62,0,8.05,clear sky
141,Moron,AR,-34.6534,-58.6198,80.35,49,0,5.44,clear sky
142,Hilo,US,19.7297,-155.09,90.28,84,6,3.0,clear sky
143,Brightwater,NZ,-41.3833,173.1167,77.63,44,100,7.7,overcast clouds
144,Tessalit,ML,20.1986,1.0114,62.02,16,76,8.48,broken clouds
