City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint-Philippe,-21.3585,55.7679,71.22,78,39,8.66,RE,2022-04-17 01:38:27
1,Tuapse,44.1125,39.0742,48.0,74,90,5.01,RU,2022-04-17 01:38:28
2,Ushuaia,-54.8,-68.3,37.06,81,0,4.61,AR,2022-04-17 01:36:54
3,Konosha,60.9736,40.257,16.61,98,63,2.06,RU,2022-04-17 01:38:28
4,Honiara,-9.4333,159.95,85.96,66,97,4.5,SB,2022-04-17 01:38:29
5,Amahai,-3.3333,128.9167,87.39,61,85,2.44,ID,2022-04-17 01:38:29
6,Mehamn,71.0357,27.8492,37.33,89,100,29.53,NO,2022-04-17 01:38:30
7,Busselton,-33.65,115.3333,63.77,47,52,10.69,AU,2022-04-17 01:37:00
8,Jamestown,42.097,-79.2353,38.79,53,40,12.66,US,2022-04-17 01:38:31
9,Rikitea,-23.1203,-134.9692,78.82,68,32,12.93,PF,2022-04-17 01:36:52
10,Yellowknife,62.456,-114.3525,14.52,48,75,9.22,CA,2022-04-17 01:36:48
11,Lahat,-3.8,103.5333,78.66,88,98,0.6,ID,2022-04-17 01:38:32
12,Gambela,8.25,34.5833,74.17,84,100,5.21,ET,2022-04-17 01:38:32
13,Albany,42.6001,-73.9662,39.63,92,97,4.07,US,2022-04-17 01:34:02
14,Victoria,22.2855,114.1577,70.97,79,99,11.01,HK,2022-04-17 01:37:04
15,Mataura,-46.1927,168.8643,53.47,48,99,4.25,NZ,2022-04-17 01:38:33
16,Upernavik,72.7868,-56.1549,-17.1,100,50,8.7,GL,2022-04-17 01:38:33
17,Poum,-20.2333,164.0167,78.55,66,2,8.75,NC,2022-04-17 01:38:34
18,Tuatapere,-46.1333,167.6833,57.31,52,86,2.59,NZ,2022-04-17 01:38:34
19,Kodiak,57.79,-152.4072,40.51,75,100,13.8,US,2022-04-17 01:38:35
20,Port Alfred,-33.5906,26.891,58.17,93,100,9.35,ZA,2022-04-17 01:36:50
21,Port Elizabeth,-33.918,25.5701,61.32,90,20,8.05,ZA,2022-04-17 01:38:35
22,Hobart,-42.8794,147.3294,75.22,59,0,12.66,AU,2022-04-17 01:38:36
